business_id,business_name,star,state,categories,review_count
ufCxltuh56FF4-ZFZ6cVhg,Sister Honey's,4.5,FL,"Restaurants, American (New), Bakeries, Desserts, Food, Cupcakes",135
ynTjh_FdhbG5hY69HsEoaA,Cascade Restaurant,3.5,FL,"Hotels, American (Traditional), Restaurants, Event Planning & Services, Hotels & Travel",18
TRToVIbaVtu1KOE8DR9gCw,Texas Roadhouse,3.5,FL,"Steakhouses, Restaurants, Salad, Barbeque, American (Traditional), Food",102
djolOChjDtxniurUFP_SXA,Panda Express,2.5,FL,"Restaurants, Chinese, Fast Food",47
qbZJh9lR0gh4Wca96NQv9g,Chuck E. Cheese,2.0,FL,"Pizza, Event Planning & Services, Arcades, Party & Event Planning, Restaurants, Active Life, Arts & Entertainment, Kids Activities, Indoor Playcentre",15
EGZ0fhB9k0ZlI5sHda4vFw,Andy's Frozen Custard,4.5,FL,"Food, Ice Cream & Frozen Yogurt, Restaurants, Breakfast & Brunch, Desserts",36
jI0NfabCGtRZWH5S0jl6Pw,Sabor Latino - Puerto Rican Cuisine & Gallery,3.5,FL,"Caribbean, Restaurants, Puerto Rican",26
3_RuVmLNa-1GNHOMvl_bsg,Something Fishy,4.5,FL,"Restaurants, Chicken Wings, Seafood",242
7f4z43MHAV-l-LsRYsasAg,VietRiver,4.0,FL,"Vegan, Vegetarian, Restaurants, Vietnamese, Diners",105
xJvsYeY9u5RLLZpXJqJEgw,Deja Vu Creperie,3.5,FL,"Restaurants, Creperies",19
m--WeFBAQaz5rHmJ-aRlkQ,Sweet Tomatoes,3.5,FL,"Buffets, Restaurants, Soup, Vegetarian, Salad",111
v7w5h6JMrhumvoJA8n5VZQ,Dunkin',2.5,FL,"Coffee & Tea, Breakfast & Brunch, Food, Restaurants, Donuts",32
y030N-DD6G7lfWHO4A6ezw,Saltgrass Steak House,3.5,FL,"Steakhouses, Restaurants, American (Traditional), Seafood",162
j4kjeLmlcMKG9fsqr5vjMQ,Crepe Delicious,5.0,FL,"Desserts, French, Food, Restaurants, Creperies",29
FJ-r3hOMbcq0p7Z5yH9oew,Olive Garden Italian Restaurant,3.5,FL,"Italian, Wine Bars, Nightlife, Salad, Bars, Restaurants, Soup",87
Xz6aqENKlT4FU-ZBvrf_ow,Bugambilias,4.5,FL,"Restaurants, Mexican",43
mw_qxZJraNu7Q6u0GkcMew,Chatham's Place,4.5,FL,"American (New), Bars, Restaurants, Wine Bars, Nightlife",157
n-_p1jwGCbZT9YaTbugsdw,Vivi bubble Tea,4.0,FL,"Coffee & Tea, Food, Hot Dogs, Restaurants, Bubble Tea",197
88VLUjOxXyayaaSFS_K4Dw,Ossorio,4.5,FL,"Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants",219
BICRl8FOudjjloh1kc9Glw,Wendy's,4.0,FL,"Restaurants, Burgers, Fast Food",25
CKDU9kpeLQy56_X0urimfA,Tea Traders Cafe by Joffrey's,4.0,FL,"Restaurants, Coffee & Tea, Cafes, Food, Tea Rooms",47
h8wejJ3V_dsRaR7x18O0PQ,Asian Diner,3.0,FL,"Chinese, Restaurants",19
nDr6VgO_4N6N_XvAkMYFwA,Rock & Brews - Kissimmee,4.5,FL,"Nightlife, Burgers, Bars, Beer Bar, Restaurants, American (New)",405
ynM2sHgvOG4DBJNDf1GKUQ,Publix Super Markets,3.5,FL,"Drugstores, Delis, Restaurants, Shopping, Grocery, Food",35
Y25fgtFHdoV9rA74v5tFDg,081 Wood Fired Pizza,4.5,FL,"Pizza, Restaurants, Chicken Wings, Sandwiches",20
q5VXVDhIeFlfofTn_PKxCQ,El ZÃ³calo Mexican Restaurant,4.0,FL,"Mexican, Restaurants",125
zQRbAOceJyC7xVBBRny2HQ,Bites & Bubbles,4.5,FL,"Wine Bars, Restaurants, Bars, Nightlife, Specialty Food, Desserts, Food, Tapas Bars",105
B4Y_wHDK7I84ZNs7Xuu8Uw,Woody's Bar-B-Q,3.0,FL,"Restaurants, Fast Food, Food, Barbeque",14
Wo7xNKWlq3i5q20VkBb6IQ,Mejana Mediterranean,4.5,FL,"Restaurants, Mediterranean",69
IpNJfLJ6R3RjZJF_ucGaZA,Popeyes Louisiana Kitchen,1.5,FL,"Chicken Wings, Restaurants, Fast Food, American (Traditional)",49
OwYx-mYJ0lYIFVaH9LH5gw,Outback Steakhouse,4.0,FL,"Steakhouses, Restaurants",18
SM8FwMK0BKRez1pp45ooVQ,Stone Fired Pizza,4.0,FL,"Pizza, Restaurants",100
RKYJVJ2VxG_4Xhu7qtP-mg,Tacos Don Pepe's,4.0,FL,"Mexican, Restaurants",19
ha4EZP8LSROUcrZhQWeXQQ,Aroma Italian CafÃ© & Wine Bar,4.0,FL,"Coffee & Tea, Food, Bars, Nightlife, Italian, Arts & Entertainment, Restaurants, Music Venues, Wine Bars",25
ob2Bplta28zhLbLPoaSL3Q,Ponderosa Steakhouse,3.0,FL,"Buffets, Restaurants, American (New), Steakhouses",38
-OmEmU8sds0dcsDDSoce-g,Caribbean Jerk & Grill,4.0,FL,"Burgers, Barbeque, Restaurants, Caribbean",42
qrewjzLzfkSClGbc_1tbyA,Panda Express,3.0,FL,"Fast Food, Restaurants, Chinese",21
LMBo7Dv-5jSTrUgiDkjE9Q,Crispers,4.0,FL,"Restaurants, Salad, Sandwiches, Soup",86
SrykgwUBIaqNwqvu7JKMqQ,House of Pizza,3.5,FL,"Pizza, Italian, Salad, Restaurants",47
SALa3MhzFBKVGkzphbYrqQ,Sharon's Place,4.0,FL,"Restaurants, Breakfast & Brunch, Sandwiches, American (Traditional), Diners",16
